source,target,size
Andai Attila,Andai Attila,9
Andai Attila,Lovas Attila,4
Andai Attila,Szabó Sándor,1
Babcsányi István,Babcsányi István,66
Babcsányi István,Nagy Attila,33
Babcsányi István,Wettl Ferenc,8
Balla-Seethalerné Béla Szilvia,Balla-Seethalerné Béla Szilvia,2
Barabás Béla,Barabás Béla,22
Barabás Béla,Fülöp Otília,7
Barabás Béla,Molontay Roland,7
Barabás Béla,Nagy Marcell,4
Barabás Béla,Tóth János,7
Bodrogné Réffy Júlia Anna,Bodrogné Réffy Júlia Anna,3
Bodrogné Réffy Júlia Anna,Matolcsi Máté,2
Bolla Marianna,Bolla Marianna,91
Bolla Marianna,Kói Tamás,4
Bolla Marianna,Mala József,4
Bolla Marianna,Tóth János,1
Borbély Gábor,Borbély Gábor,2
Borbély Gábor,Bálint Péter,1
Borbély Gábor,Kornai András,3
Burai Pál,Burai Pál,7
Bálint Péter,Borbély Gábor,12
Bálint Péter,Bálint Péter,72
Bálint Péter,Szász Domokos,37
Bálint Péter,Tóth Imre Péter,48
Bárány Balázs,Bárány Balázs,77
Bárány Balázs,Prokaj Rudolf Dániel,4
Bárány Balázs,Simon Károly,57
Bárány Balázs,Vágó Lajos,2
Csikja Rudolf,Boda Lívia,2
Csikja Rudolf,Faragó István György,2
Csima Géza,Csima Géza,4
Csima Géza,G. Horváth Ákos,1
Csima Géza,Szirmai Jenő,6
Csiszár Imre,Andai Attila,2
Csiszár Imre,Csiszár Imre,314
Csiszár Imre,Farkas Lóránt Ernő,48
Csiszár Imre,Kovács Edith Alice,4
Csiszár Imre,Kói Tamás,47
Csiszár Imre,Molnár Lajos Gábor,2
Csiszár Imre,Mosonyi Milán,19
Csiszár Imre,Szabó Sándor,2
Csiszár Imre,Szántai Tamás,4
Csiszár Imre,Vrana Péter,2
Erdélyi Márton Kristóf,Erdélyi Márton Kristóf,1
Etesi Gábor,Etesi Gábor,51
Etesi Gábor,Szabó Szilárd,10
Faragó István György,Faragó István György,401
Faragó István György,Horváth Róbert,150
Faragó István György,Karátson János,151
Faragó István György,Kovács Mihály,8
Faragó István György,Kovács Sándor,1
Faragó István György,Lóczi Lajos,7
Faragó István György,Mincsovics Miklós,30
