Title,Title20,Title29,ISSN,EISSN,Category name
2D MATERIALS,2D MATER,2D MATER,2053-1583,2053-1583,MATERIALS SCIENCE
3 BIOTECH,3 BIOTECH,3 BIOTECH,2190-572X,2190-5738,BIOLOGY & BIOCHEMISTRY
3D PRINTING AND ADDITIVE MANUFACTURING,3D PRINT ADDIT MANUF,3D PRINT ADDIT MANUF,2329-7662,2329-7670,ENGINEERING
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,4OR-Q J OPER RES,4OR Q J OPER RES,1619-4500,1614-2411,ENGINEERING
AAPG BULLETIN,AAPG BULL,AAPG BULL,0149-1423,1558-9153,GEOSCIENCES
AAPS JOURNAL,AAPS J,AAPS J,1550-7416,1550-7416,PHARMACOLOGY & TOXICOLOGY
AAPS PHARMSCITECH,AAPS PHARMSCITECH,AAPS PHARMSCITECH,1530-9932,1530-9932,PHARMACOLOGY & TOXICOLOGY
AATCC JOURNAL OF RESEARCH,AATCC J RES,AATCC J RES,2330-5517,2330-5517,MATERIALS SCIENCE
AATCC REVIEW,AATCC REV,AATCC REV,1532-8813,1532-8813,MATERIALS SCIENCE
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,ABACUS,ABACUS,0001-3072,1467-6281,ECONOMICS & BUSINESS
ABDOMINAL IMAGING,ABDOM IMAGING,ABDOM IMAGING,0942-8925,1432-0509,CLINICAL MEDICINE
ABDOMINAL RADIOLOGY,ABDOM RADIOL,ABDOM RADIOL,2366-004X,2366-0058,CLINICAL MEDICINE
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,ABH MATH SEM UNIV HAMBURG,0025-5858,1865-8784,MATHEMATICS
ABSTRACT AND APPLIED ANALYSIS,ABSTR APPL ANAL,ABSTR APPL ANAL,1085-3375,1687-0409,MATHEMATICS
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,ACAD-REV LATINOAM AD,ACAD-REV LATINOAM ADM,1012-8255,2056-5127,ECONOMICS & BUSINESS
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,ACAD EMERG MED,1069-6563,1553-2712,CLINICAL MEDICINE
ACADEMIC MEDICINE,ACAD MED,ACAD MED,1040-2446,1938-808X,CLINICAL MEDICINE
ACADEMIC PEDIATRICS,ACAD PEDIATR,ACAD PEDIATR,1876-2859,1876-2867,CLINICAL MEDICINE
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,ACAD PSYCHIATRY,1042-9670,1545-7230,PSYCHIATRY/PSYCHOLOGY
ACADEMIC RADIOLOGY,ACAD RADIOL,ACAD RADIOL,1076-6332,1878-4046,CLINICAL MEDICINE
ACADEMY OF MANAGEMENT ANNALS,ACAD MANAG ANN,ACAD MANAG ANN,1941-6520,1941-6067,ECONOMICS & BUSINESS
ACADEMY OF MANAGEMENT DISCOVERIES,ACAD MANAG DISCOV,ACAD MANAG DISCOV,****-****,2168-1007,ECONOMICS & BUSINESS
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,ACAD MANAGE J,0001-4273,1948-0989,ECONOMICS & BUSINESS
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,ACAD MANAG LEARN EDU,ACAD MANAG LEARN EDUC,1537-260X,,ECONOMICS & BUSINESS
ACADEMY OF MANAGEMENT PERSPECTIVES,ACAD MANAGE PERSPECT,ACAD MANAG PERSPECT,1558-9080,,ECONOMICS & BUSINESS
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,ACAD MANAGE REV,0363-7425,1930-3807,ECONOMICS & BUSINESS
