,MTMT,Név,Tanszék,independentCitingPubCount,2022independentCitingPubCount
14,10000951,Csiszár Imre,Sztochasztika,14384,187
47,10002205,Kornai András,Algebra,3247,44
63,10000799,Molnár Lajos Gábor,Analízis,1821,64
86,10000407,Rónyai Lajos,Algebra,1397,59
67,10042404,Mosonyi Milán,Analízis,924,131
59,10011720,Matolcsi Máté,Analízis,914,77
95,10000434,Simonovits András,Differenciálegyenletek,830,6
20,10004964,Faragó István György,Differenciálegyenletek,830,36
102,10001251,Szántai Tamás,Differenciálegyenletek,765,17
103,10000937,Szász Domokos,Sztochasztika,751,16
112,10000734,Tóth János,Analízis,745,17
49,10060734,Kovács Mihály,Differenciálegyenletek,689,22
94,10001238,Simon Károly,Sztochasztika,654,38
27,10002331,Gyurkovics Éva,Differenciálegyenletek,474,25
38,10000168,Karátson János,Analízis,463,33
51,10007872,Kroó András,Analízis,457,17
35,10003616,Hujter Mihály,Differenciálegyenletek,429,16
19,10010616,Fábián Csaba,Differenciálegyenletek,429,22
33,10001247,Horváth Miklós Tibor,Analízis,399,13
78,10035521,Pete Gábor,Sztochasztika,387,19
84,10003409,Ráth Balázs,Sztochasztika,331,18
121,10015273,Weiner Mihály,Analízis,324,25
69,10002058,Nagy Attila,Algebra,295,6
18,10028223,Etesi Gábor,Geometria,277,4
24,10010572,G. Horváth Ákos,Geometria,276,23
8,10004672,Bolla Marianna,Sztochasztika,250,7
57,10009038,Lukács Erzsébet,Algebra,245,5
5,10042216,Bárány Balázs,Sztochasztika,226,32
70,10000486,Nagy Béla,Analízis,225,no info
2,10011729,Bálint Péter,Sztochasztika,220,8
106,10011668,Szirmai Jenő,Geometria,209,14
34,10000182,Horváth Róbert,Analízis,208,6
62,10006497,Molnár Emil,Geometria,207,7
71,10001060,Nagy Gábor Péter,Algebra,203,9
116,10019824,Vető Bálint,Sztochasztika,200,9
117,10019824,Vető Bálint,Sztochasztika,200,9
118,10019824,Vető Bálint,Sztochasztika,200,9
119,10019824,Vető Bálint,Sztochasztika,200,9
83,10009305,Prőhle Péter,Algebra,198,no info
76,10000476,Nagyné Szilvási Márta,Geometria,189,14
4,10011669,Barabás Béla,Sztochasztika,168,8
65,10051932,Molontay Roland,Sztochasztika,166,45
53,10012191,Lángi Zsolt,Geometria,165,13
93,10041399,Simon András,Algebra,153,1
30,10041406,Héthelyi László,Algebra,144,9
120,10042219,Vrana Péter,Geometria,144,12
87,10011665,Sági Gábor,Algebra,141,2
29,10068236,Hegedűs Pál,Algebra,132,11
22,10003438,Ferenczi Miklós,Algebra,132,0
11,10013078,Burai Pál,Differenciálegyenletek,131,7
122,10009327,Wettl Ferenc,Algebra,131,no info
46,10011896,Koós Krisztiánné Szilágyi Brigitta,Geometria,122,15
41,10025398,Kiss Krisztina,Differenciálegyenletek,110,10
88,10019822,Sándor Csaba,Sztochasztika,108,5
89,10019822,Sándor Csaba,Sztochasztika,108,5
90,10019822,Tóth Imre Péter,Sztochasztika,108,5
91,10019822,Tóth Imre Péter,Sztochasztika,108,5
50,10031961,Kovács Sándor,Differenciálegyenletek,105,6
43,10019177,Kiss Sándor,Algebra,98,9
74,10066588,Nagy Marcell,Sztochasztika,97,29
31,10003450,Horváth Erzsébet,Algebra,97,1
0,10012522,Andai Attila,Analízis,93,1
66,10011727,Moson Péter,Differenciálegyenletek,83,1
7,10042206,Bodrogné Réffy Júlia Anna,Analízis,73,2
