Év,Q pontszám,Normalizált Q,I pontszám,IF,Normalizált IF,Publikációk száma,Lektorált folyóiratok száma,Konferenciacikkek száma,Könyv és könyvfejezet,Szabadalom,IF folyóiratok száma,D1,Q1,Q2,Q3,Q4
2003,64.248,77.8814737518481,641,41.472,59.828491901398685,132,85,19,7,1,50,10,13,19,18,3
2004,45.61000000000001,48.89836428172185,778,26.407000000000004,32.920042564474976,98,55,19,7,0,32,5,10,11,5,8
2005,48.60100000000001,57.08479305061367,990,27.416,39.0640435111625,104,60,17,5,0,36,6,8,18,5,10
2006,56.14799999999999,62.55429699308597,1096,37.63200000000002,46.8049215802841,107,59,20,9,0,40,9,12,15,6,4
2007,77.15500000000002,72.17115549758105,1169,50.860999999999976,47.02079965474473,135,81,18,11,1,50,5,18,25,11,8
2008,98.77999999999999,86.04320747942165,1357,77.491,64.35812544759996,142,96,18,11,0,67,13,20,32,10,4
2009,86.347,81.91887246519474,1481,65.608,61.25045097580432,146,87,21,10,0,63,13,18,20,15,9
2010,69.86600000000001,73.47189602808412,1517,45.365000000000016,48.607026097525385,127,72,23,9,0,41,10,14,18,8,3
2011,83.78000000000002,82.55682443647383,1593,61.76800000000001,62.769176757091785,158,95,10,9,0,66,13,21,23,15,3
2012,94.17099999999998,86.85640631933107,1724,77.71900000000001,73.90118437395942,145,98,15,9,0,76,19,19,26,16,3
2013,111.15500000000002,116.08245539733197,2014,77.193,84.63037107478911,194,105,30,24,0,78,10,27,24,12,8
2014,81.22800000000002,81.24747794708725,2067,63.23899999999998,64.2791179432088,140,82,25,5,0,61,11,20,23,12,7
2015,124.39099999999996,100.69212551487489,2061,106.82999999999997,83.5128992090922,145,101,12,10,0,78,20,21,30,13,2
2016,99.23099999999995,88.15208324313618,1983,81.73299999999999,70.73707041862872,147,92,14,10,0,70,14,16,33,8,4
2017,116.453,90.81332855972926,2236,99.39999999999998,74.23782178436689,156,89,18,12,0,72,11,27,31,6,2
2018,131.25200000000007,104.51068051495552,2374,109.22900000000001,81.91949240592868,189,104,18,18,0,74,22,14,33,7,5
2019,106.23300000000005,85.73371282379814,2254,83.28499999999998,61.682187530895014,174,94,26,8,0,65,13,21,31,11,5
2020,152.98600000000008,88.67601821077287,1814,138.826,73.52908047502108,146,89,12,7,0,67,17,17,31,3,9
2021,142.80699999999996,89.20746098857917,1956,126.50699999999999,70.58606767647251,154,102,15,7,0,73,17,25,27,11,5
2022,192.30400000000012,112.78342451045992,1249,179.00000000000006,98.2569271495698,150,120,11,5,0,97,24,35,44,4,3
