Tanszék,Év,Q pontszám,Normalizált Q,I pontszám,IF,Normalizált IF,Publikációk száma,Lektorált folyóiratok száma,Konferenciacikkek száma,Könyv és könyvfejezet,Szabadalom,IF folyóiratok száma,D1,Q1,Q2,Q3,Q4
ALGEBRA,2003,3.757666666666666,6.337916666666667,32,2.1751666666666667,5.437916666666667,18,13,0,2,1,9,1,5,1,2,0
ALGEBRA,2004,3.233333333333334,4.070301624129931,47,1.2863333333333333,2.9845320959010055,12,8,0,2,0,5,1,0,3,1,0
ALGEBRA,2005,3.6823333333333332,3.7763507573864845,45,1.881,2.3930174240531508,15,10,1,1,0,6,0,3,3,1,0
ALGEBRA,2006,2.9343333333333335,4.791631302387316,72,2.1742,4.324964635720649,9,6,2,1,0,6,2,1,3,0,0
ALGEBRA,2007,1.7936666666666667,2.484732268925817,44,1.2676666666666665,2.1347322689258172,11,5,1,0,0,4,2,1,1,1,0
ALGEBRA,2008,6.599666666666666,6.914911440310387,74,2.7411666666666665,3.3529822165660956,17,11,2,2,0,6,1,2,3,1,0
ALGEBRA,2009,3.697,4.153678505055726,69,2.6133333333333333,3.1370118383890597,13,8,2,1,0,5,2,1,2,1,1
ALGEBRA,2010,3.155333333333333,4.190981240981241,63,2.405333333333333,3.6409812409812408,9,5,4,0,0,5,2,0,2,1,0
ALGEBRA,2011,5.190833333333334,6.443998908892528,81,2.7910000000000004,4.567921440261866,22,15,4,0,0,10,2,3,4,5,0
ALGEBRA,2012,2.5433333333333334,3.660834762721555,82,2.061,3.53516295025729,12,5,0,1,0,5,2,1,1,1,0
ALGEBRA,2013,5.7924999999999995,7.012510121704908,112,2.951833333333333,4.654871232816019,25,12,3,3,0,8,1,3,2,3,1
ALGEBRA,2014,4.61175,5.080680764815664,109,2.857083333333333,3.7876906452108803,23,15,5,0,0,11,1,4,4,3,0
ALGEBRA,2015,4.931999999999999,5.469332182730908,137,2.927166666666667,3.7476915577309082,23,12,4,4,0,9,3,2,4,2,0
ALGEBRA,2016,7.338083333333331,8.210568972631293,148,5.361583333333333,6.894015594737708,27,14,5,0,0,12,2,1,5,4,0
ALGEBRA,2017,4.509666666666667,5.148793562497029,141,3.7936666666666663,4.6654602291636955,17,9,2,2,0,8,1,4,2,2,0
ALGEBRA,2018,5.160404761904761,5.548033027234866,180,3.5385,4.048849522567491,18,11,3,2,0,8,2,2,1,3,1
ALGEBRA,2019,6.116666666666667,5.8907898858119765,218,4.9753333333333325,4.790789885811976,22,14,3,2,0,12,1,7,3,1,0
ALGEBRA,2020,8.669583333333335,4.678693537206612,147,6.536249999999999,2.5316885311648374,20,12,1,2,0,7,2,3,2,1,2
ALGEBRA,2021,8.264666666666667,6.899414060000397,123,6.608666666666666,5.134056640029588,24,18,1,0,0,12,2,1,9,2,3
ALGEBRA,2022,5.615,5.5329343719512885,85,3.5629999999999997,3.468535949860559,12,10,2,0,0,5,0,0,5,1,0
ANALYSIS,2003,6.755166666666666,7.030218407109387,31,5.568666666666667,6.394026644786632,15,12,1,0,0,10,0,3,7,1,0
ANALYSIS,2004,3.547166666666667,3.2915162905564936,47,2.4845,2.2748496238898266,15,10,1,1,0,5,1,2,2,0,2
ANALYSIS,2005,7.0505,9.913893570094551,66,6.3505,9.213893570094552,12,6,2,0,0,5,4,1,0,0,0
ANALYSIS,2006,5.774583333333334,6.096735395189004,63,3.38375,4.074226804123712,24,10,5,4,0,6,1,3,0,2,0
ANALYSIS,2007,7.916166666666668,7.220249483350576,54,6.3821666666666665,5.814667997497837,22,15,3,0,0,12,1,1,10,0,0
ANALYSIS,2008,4.53875,3.5655524102973164,59,2.9689166666666664,1.5139585271567195,22,13,5,1,0,9,0,1,5,2,1
ANALYSIS,2009,10.295733333333335,9.434465789175924,82,9.707900000000002,8.579436698091095,22,17,1,0,0,15,3,3,6,2,2
ANALYSIS,2010,2.8708333333333336,3.2051678592495705,112,1.3585,1.7718345259162371,12,7,5,0,0,3,0,2,2,3,0
ANALYSIS,2011,15.038833333333331,13.41253871129755,96,13.867833333333333,12.583086656503031,27,16,4,1,0,14,4,4,4,2,0
ANALYSIS,2012,10.104666666666668,7.3078810984918405,140,8.981666666666666,6.455199470702517,24,15,1,0,0,13,4,2,2,5,0
ANALYSIS,2013,8.00465,7.2663787266389015,132,7.072316666666667,6.400482190706898,23,12,4,1,0,10,3,5,2,1,1
ANALYSIS,2014,9.395666666666667,9.006977953576229,141,7.916166666666667,7.237211816657709,17,14,2,0,0,10,2,3,5,0,3
ANALYSIS,2015,19.459200000000003,16.68909685045916,162,17.61786666666667,15.03778692849706,32,26,1,0,0,21,7,6,7,1,2
ANALYSIS,2016,15.51553888888889,13.235527128983582,164,14.990038888888892,12.26103712610363,30,23,3,0,0,21,4,5,11,1,0
ANALYSIS,2017,16.540166666666668,12.750884839479006,245,15.565000000000001,11.768717464728518,29,20,3,0,0,18,3,7,9,0,0
ANALYSIS,2018,15.145497619047617,11.431663781774374,240,14.714688095238095,10.919904699856383,24,20,3,1,0,20,4,4,10,2,0
ANALYSIS,2019,14.20472619047619,12.612724341881554,267,13.119726190476191,11.508855851609395,22,20,0,0,0,15,2,6,8,1,1
ANALYSIS,2020,22.90088333333333,14.3243040805831,286,22.22088333333333,13.525574587863883,27,23,1,0,0,21,2,5,12,1,0
ANALYSIS,2021,23.622336080586084,14.315817688298514,368,22.80466941391942,12.886327232642731,32,26,1,0,0,24,6,7,8,4,0
ANALYSIS,2022,31.069999999999993,15.099037018434185,309,30.669999999999995,14.638843303898335,22,19,0,0,0,18,7,2,8,1,0
