Tanszék,Év,Q pontszám,Normalizált Q,I pontszám,IF,Normalizált IF,Publikációk száma,Lektorált folyóiratok száma,Konferenciacikkek száma,Könyv és könyvfejezet,Szabadalom,IF folyóiratok száma,D1,Q1,Q2,Q3,Q4
ALGEBRA,2003,2.7576666666666663,4.902916666666666,27,1.6811666666666667,4.202916666666666,12,9,0,2,1,6,1,4,1,0,0
ALGEBRA,2004,2.8333333333333335,3.498143851508121,41,1.0828333333333333,2.5123743232791957,10,6,0,2,0,4,1,0,2,1,0
ALGEBRA,2005,2.0833333333333335,2.3486928104575164,37,0.489,1.065359477124183,11,6,1,1,0,3,0,1,2,1,0
ALGEBRA,2006,1.6203333333333332,2.082352951871852,53,0.8602000000000001,1.6156862852051854,7,4,2,1,0,4,0,1,3,0,0
ALGEBRA,2007,1.1863333333333332,1.3963212772890192,37,0.6603333333333333,1.0463212772890191,7,3,1,0,0,2,0,1,1,1,0
ALGEBRA,2008,6.099666666666667,6.414911440310387,58,2.5826666666666664,3.0815781069770543,13,9,2,2,0,5,1,2,2,1,0
ALGEBRA,2009,2.931666666666667,3.258975662678466,52,2.262,2.592308996011799,8,4,2,1,0,3,2,1,1,0,0
ALGEBRA,2010,0.7193333333333334,0.8995178263470947,46,0.7193333333333334,0.8995178263470947,2,2,0,0,0,2,1,0,1,0,0
ALGEBRA,2011,3.690833333333333,4.520430987452265,66,1.799,2.944353518821604,15,11,3,0,0,7,1,3,4,2,0
ALGEBRA,2012,1.4189999999999998,2.168667810177244,51,1.2643333333333333,2.168667810177244,4,2,0,0,0,2,1,0,1,0,0
ALGEBRA,2013,3.833333333333334,4.021115786192925,82,1.2945,1.9468102306373696,15,6,3,3,0,4,0,1,1,2,0
ALGEBRA,2014,3.555083333333333,3.771102803441837,84,2.029916666666667,2.568112683837053,17,12,3,0,0,8,0,4,3,2,0
ALGEBRA,2015,4.150499999999999,4.495738432730907,105,2.403166666666667,2.9764675993975747,16,9,2,4,0,7,2,2,4,1,0
ALGEBRA,2016,5.0281666666666665,5.479763867083919,110,3.6963333333333326,4.564619046268995,19,10,3,0,0,8,1,1,3,3,0
ALGEBRA,2017,2.551166666666667,2.6490193980887176,111,1.9488333333333334,2.165686064755384,14,6,2,2,0,5,0,4,1,1,0
ALGEBRA,2018,4.717404761904762,4.998405235671591,135,3.0955,3.499221731004216,16,10,3,2,0,7,1,2,1,3,1
ALGEBRA,2019,5.2935,4.928021854622892,176,4.152166666666667,3.8280218546228917,19,12,3,2,0,10,1,6,3,1,0
ALGEBRA,2020,8.669583333333335,4.678693537206612,124,6.536249999999999,2.5316885311648374,20,12,1,2,0,7,2,3,2,1,2
ALGEBRA,2021,6.991666666666666,5.91812750964134,90,5.769,4.586103423003864,19,14,0,0,0,10,1,1,8,0,3
ALGEBRA,2022,5.415,5.332934371951287,59,3.5629999999999997,3.468535949860559,11,9,2,0,0,5,0,0,5,1,0
ANALYSIS,2003,5.220166666666666,5.619013333113615,15,4.539166666666667,5.4190133331136146,11,9,1,0,0,8,0,3,5,1,0
ANALYSIS,2004,2.65725,2.4110164649481756,25,1.6612500000000001,1.4610164649481756,10,8,0,0,0,3,0,1,2,0,2
ANALYSIS,2005,4.484500000000001,7.102123740490326,42,3.9844999999999997,6.602123740490326,8,4,1,0,0,3,3,0,0,0,0
ANALYSIS,2006,3.5969999999999995,4.063402061855671,52,2.8145,3.4634020618556702,12,5,3,1,0,4,1,2,0,1,0
ANALYSIS,2007,7.198166666666667,6.400212942546679,35,5.914166666666667,5.24463145669394,16,14,1,0,0,11,1,1,9,0,0
ANALYSIS,2008,3.510416666666667,2.6988857436306493,37,2.60725,1.34336104287999,15,11,2,0,0,8,0,1,4,2,1
ANALYSIS,2009,10.145733333333334,9.284465789175924,52,9.707900000000002,8.579436698091095,21,16,1,0,0,15,3,3,6,2,1
ANALYSIS,2010,2.1708333333333334,2.258013387704855,82,0.8375,0.9246800543715217,10,6,4,0,0,2,0,2,1,3,0
ANALYSIS,2011,8.025,8.1054408430805,71,7.166,7.555440843080499,19,11,2,1,0,9,2,3,3,1,0
ANALYSIS,2012,4.538833333333334,3.0271339740505754,100,3.9948333333333332,2.6604093111536633,12,8,1,0,0,7,3,0,2,2,0
ANALYSIS,2013,6.50915,6.727459807719981,87,5.576816666666667,5.861563271787979,17,11,3,1,0,9,2,5,2,1,1
ANALYSIS,2014,7.545,7.724921799892462,91,6.365500000000001,6.255155662973943,14,12,2,0,0,9,1,3,5,0,2
ANALYSIS,2015,17.539200000000005,14.973974977463644,110,16.42586666666667,14.022665055501548,27,22,1,0,0,19,7,6,5,1,1
ANALYSIS,2016,11.848538888888891,10.047141234667032,109,11.37303888888889,9.122651231787081,25,20,2,0,0,18,4,3,10,1,0
ANALYSIS,2017,15.40216666666667,11.529854796560553,177,14.427,10.547687421810059,28,19,3,0,0,17,3,6,9,0,0
ANALYSIS,2018,13.755164285714283,10.36128919705297,179,13.33235476190476,9.849530115134982,22,18,3,1,0,18,4,4,9,1,0
ANALYSIS,2019,13.51047619047619,12.362724341881554,212,12.425476190476191,11.258855851609395,21,19,0,0,0,14,2,5,8,1,1
ANALYSIS,2020,20.56188333333333,13.365999259432245,204,19.96188333333333,12.647269766713027,25,21,1,0,0,20,2,5,12,1,0
ANALYSIS,2021,16.936538461538465,11.369512877719602,248,16.118871794871797,9.940022422063821,25,21,1,0,0,19,3,6,8,3,0
ANALYSIS,2022,23.995749999999997,13.0864378187449,190,23.59575,12.62624410420905,18,16,0,0,0,15,5,2,8,1,0
Differential_Equations,2003,2.324,2.9253259005145797,20,0.9259999999999999,1.8253259005145797,10,4,3,0,0,2,1,0,1,1,0
Differential_Equations,2004,5.9965,7.540682044389545,28,4.197500000000001,5.940682044389545,21,10,5,1,0,6,1,4,1,0,1
Differential_Equations,2005,2.0254999999999996,2.328502412369587,36,1.2215,1.7785024123695874,11,5,3,0,0,3,0,3,0,0,1
Differential_Equations,2006,4.463166666666667,3.8510715737353585,45,2.7455,2.4927614530296944,16,7,4,1,0,4,1,1,2,1,0
