MTMT,pubCount,qScore,qnScore,ifCount,ifScore,relifScore,ifNormScore,relifNormScore,citations,hIndex,firstPub,lastPub
10006693,116,14.39,15.83,6,5.002,2.968,7.017,4.405,163,7,1968,2022
10019825,34,8.261,5.551,13,21.92,7.141,12.59,4.431,66,5,2011,2023
10058012,12,6.287,3.821,6,13.92,5.614,8.098,3.147,10,2,2016,2022
10051932,48,15.37,6.955,10,49.19,13.03,15.25,4.612,164,8,2013,2022
10011985,32,20.2,31.41,24,17.65,18.4,22.31,29.61,71,4,1991,2022
10043154,11,2.006,1.473,2,4.662,1.348,2.625,0.8146,11,2,2011,2019
10042246,14,1.968,1.223,2,5.144,1.435,2.559,0.6895,6,1,2006,2016
10001060,64,24.23,33.18,41,30.37,19.53,35.89,28.48,203,7,1992,2022
10000486,95,28.84,41.63,27,18.06,12.75,29.74,25.55,232,7,1968,2019
10003438,46,15.89,19.89,12,6.108,7.586,8.972,11.59,93,6,1977,2022
10000434,306,48.74,49.3,14,8.499,6.481,7.435,7.048,811,12,1969,2022
10001251,108,16.62,17.27,18,15.98,6.608,13.56,7.25,762,15,1969,2019
10003409,31,16.34,14.18,27,29.26,15.57,24.66,13.42,331,11,2005,2022
10006497,129,26.91,37.74,15,10.88,8.408,12.75,19.24,204,8,1969,2022
10042205,20,2.289,3.644,11,6.805,2.016,8.128,3.371,18,2,1994,2020
10041406,46,10.81,19.19,31,15.62,7.907,28.92,16.29,144,7,1982,2021
10000476,74,15.78,16.72,6,5.687,2.726,6.958,3.674,189,6,1974,2018
10012192,16,4.8,6.492,2,0.831,1.2,2.03,2.892,34,4,1972,2011
10009327,23,3.667,6.103,2,0.273,0.45,1.146,2.886,131,5,1983,2004
10041405,36,7.2,16.09,6,0.918,2.4,4.282,11.29,42,3,1970,2009
10041404,3,0.2667,0.494,1,0.385,0.2,0.8226,0.4274,23,1,1994,2000
10041403,3,0.6,0.6,0,0,0,0,0,4,1,1981,1990
10041425,4,0.5876,0.5824,1,0.661,0.3305,0.6506,0.3253,19,2,2002,2005
10041699,4,0.5,0.5,0,0,0,0,0,0,0,1986,1993
10029438,9,4.306,6.116,8,5.036,4.306,6.637,6.116,16,3,2011,2021
10013078,34,13.56,13.88,16,16.04,10.88,16.21,11.2,131,6,2005,2022
10003450,42,6.604,11.59,15,7.016,3.37,13.57,8.358,96,5,1980,2021
10002058,74,26.32,45.06,20,7.737,10.52,16.56,29.26,288,8,1977,2022
10058310,12,3.828,1.877,3,5.856,2.928,1.954,0.9768,6,2,2016,2022
10010572,79,27.4,32.02,21,15.5,11.8,18.76,16.42,269,9,1982,2022
10011720,58,22.78,27.44,42,56.74,20.98,48.32,25.64,912,14,2001,2022
10004964,216,52.76,53.37,78,92,37.04,86.84,37.65,807,14,1978,2023
10001247,62,24.39,43.39,23,20.16,16.72,27.65,35.73,399,10,1986,2019
10000168,99,50.79,51.33,65,75.25,43.05,74.32,43.6,463,11,1993,2022
10002205,146,30.17,21.18,10,22.96,14.74,8.226,5.738,3186,26,1982,2023
10060734,52,25.09,24.89,42,63.5,24.12,58.25,23.92,743,17,2000,2022
10007872,137,56.41,77.29,55,41.49,34.57,64.59,55.45,457,9,1977,2022
10000799,168,95.72,151.4,131,100.5,82.17,129.2,137.8,1820,22,1990,2022
10000407,148,33.1,40.41,48,70.88,20.43,57.97,27.74,1363,21,1979,2022
10012522,23,9.162,6.801,10,10.86,8.162,7.796,5.801,98,7,1998,2020
10000182,51,20.53,22.02,29,35.12,17.76,34.95,19.25,208,8,1998,2022
10042404,34,21.18,10.77,27,47.14,20.98,23.66,10.57,694,16,2001,2022
10028381,11,4.707,2.938,6,7.802,4.307,4.923,2.538,46,4,2006,2021
10015273,33,25.61,15.8,30,53.34,25.37,33.25,15.57,324,10,2001,2022
10031107,36,5.967,4.497,5,8.556,2.9,3.742,1.43,32,3,1996,2021
10042216,40,19.65,20.51,34,42.95,18.85,41.99,19.71,225,9,2009,2022
10028223,30,47.46,30.27,27,53.29,47.26,34.41,30.07,281,7,1996,2022
10022680,15,6.52,7.153,8,11.02,5.837,5.702,6.47,25,2,2000,2021
10068236,19,7.877,16.08,18,9.91,7.677,18.05,15.88,133,6,1998,2019
10003616,79,5.364,9.358,12,4.646,3.663,9.548,7.658,428,7,1987,2021
10025398,21,10.05,7.811,8,19.01,7.516,12.52,5.278,109,6,1991,2020
10019177,33,10.53,11.48,23,21.34,9.183,18.52,10.13,97,5,2005,2023
10083060,10,7.424,6.485,7,11.82,7.09,9.473,6.151,45,2,2013,2022
10011896,63,8.981,6.608,15,26.62,5.053,10.38,2.68,120,7,2001,2022
10009038,26,5.168,9.464,15,6.246,3.468,13.66,7.764,245,7,1986,2018
10012191,67,23.72,27,45,35.03,19.9,37.82,23.18,165,5,2000,2023
10035521,27,14.7,16.54,23,33.13,14.5,38.82,16.34,387,11,1998,2022
10011667,40,9.096,11.72,6,5.522,4.346,5.565,6.97,69,4,1988,2021
10009305,13,2.292,5.028,2,0.401,0.75,2,3.486,198,5,1977,1998
10041399,20,3.738,4.878,4,1.828,1.111,3.765,2.251,153,7,1991,2015
10027379,20,18.08,14.55,14,23.5,14.98,16.79,11.45,48,4,2005,2022
10011668,120,36.17,46.52,37,24.06,20.24,30.85,30.58,202,7,1992,2022
10011665,38,13.44,18.76,17,10.55,8.803,15.55,14.13,141,8,1997,2022
