MTMT,pubCount,qScore,qnScore,ifCount,ifScore,relifScore,ifNormScore,relifNormScore,citations,hIndex,firstPub,lastPub
10012522,19,7.587,5.739,8,9.012,6.888,6.285,5.039,76,5,1998,2020
10041405,9,1.95,5.935,3,0.49,1.2,1.935,5.185,4,1,1982,2009
10011729,29,14.39,10.58,24,37.3,14.25,27,10.45,216,8,2002,2021
10042381,13,1.633,1.633,0,0,0,0,0,1,1,2008,2017
10011669,23,5.36,2.618,6,12.84,4.21,4.332,1.468,49,4,1985,2019
10042216,38,18.44,19.1,32,40.72,17.64,39.6,18.3,223,9,2009,2022
10070052,3,0.5,0.5,0,0,0,0,0,0,0,2020,2022
10042206,5,1.384,1.515,2,2.055,0.8343,2.316,0.9655,73,3,2004,2007
10004672,59,17.63,18.33,15,13.03,10.61,14.04,11.3,151,7,1992,2022
10043154,10,1.931,1.398,2,4.662,1.348,2.625,0.8146,11,2,2011,2019
10063931,4,3.806,1.417,4,8.371,3.806,3.161,1.417,11,1,2018,2023
10013078,2,0.7987,0.6748,2,2.396,0.7987,2.024,0.6748,1,1,2021,2022
10042246,13,1.868,1.123,2,5.144,1.435,2.559,0.6895,6,1,2006,2016
10046850,10,2.327,2.346,4,2.955,1.677,2.915,1.696,36,4,2010,2019
10000951,13,4.531,5.466,5,7.367,4.164,8.217,5.099,434,5,2000,2017
10077397,0,0,0,0,0,0,0,0,0,0,2100,0
10085337,1,0.3,0.2904,1,0.569,0.3,0.5508,0.2904,0,0,2022,2022
10057699,0,0,0,0,0,0,0,0,0,0,2100,0
10028223,22,28.11,16.93,19,32.73,27.91,20,16.73,229,5,2001,2022
10010616,3,0.6142,0.2091,2,3.869,0.6142,1.337,0.2091,7,2,2018,2019
10004964,39,16.49,13.02,24,38.91,14.96,30.1,11.5,81,6,2008,2023
10041238,15,4.935,2.784,4,8.471,3.769,3.474,1.617,11,2,2008,2021
10003438,13,6.086,7.811,7,4.385,4.886,5.947,6.611,10,2,1988,2022
10022680,14,6.52,7.153,8,11.02,5.837,5.702,6.47,25,2,2000,2021
10010572,67,24.3,27.5,20,15.21,11.2,17.76,14.4,234,9,1982,2022
