auth1,auth2,size
0,0,12970
Andai Attila,0,81
Andai Attila,Lovas Attila,2
Babcsányi István,0,132
Babcsányi István,Nagy Attila,20
Babcsányi István,Szép Gabriella,3
Babcsányi István,Wettl Ferenc,7
Balla-Seethalerné Béla Szilvia,0,52
Balla-Seethalerné Béla Szilvia,Nagyné Szilvási Márta,10
Barabás Béla,0,123
Barabás Béla,Fülöp Otília,12
Barabás Béla,Molontay Roland,6
Barabás Béla,Tóth János,2
Boda Lívia,0,11
Boda Lívia,Faragó István György,4
Bodrogné Réffy Júlia Anna,0,13
Bolla Marianna,0,308
Bolla Marianna,Kói Tamás,4
Bolla Marianna,Mala József,2
Bolla Marianna,Szabados Tamás,4
Borbély Gábor,0,40
Borbély Gábor,Kornai András,8
Borbély Gábor,Koós Krisztiánné Szilágyi Brigitta,2
Bunth Gergely,0,14
Bunth Gergely,Mosonyi Milán,2
Bunth Gergely,Vrana Péter,2
Burai Pál,0,96
Bálint Péter,0,112
Bálint Péter,Borbély Gábor,4
Bálint Péter,Szász Domokos,12
Bálint Péter,Tóth Imre Péter,34
Bárány Balázs,0,129
Bárány Balázs,Simon Károly,18
Csikja Rudolf,0,46
Csikja Rudolf,Tóth János,8
Csima Géza,0,36
Csima Géza,Szirmai Jenő,14
Csiszár Imre,0,402
Eper Miklós,0,4
Eper Miklós,Szirmai Jenő,2
Erdélyi Márton Kristóf,0,12
Etesi Gábor,0,91
Etesi Gábor,Szabó Szilárd,2
Faragó István György,0,758
Faragó István György,Horváth Róbert,58
Faragó István György,Karátson János,27
Faragó István György,Kovács Mihály,6
Faragó István György,Mincsovics Miklós,9
Faragó István György,Svantnerné Sebestyén Gabriella,7
Farkas Lóránt Ernő,0,53
Farkas Lóránt Ernő,Csiszár Imre,3
Farkas Lóránt Ernő,Kói Tamás,25
Ferenczi Miklós,0,162
Ferenczi Miklós,Rónyai Lajos,2
Ferenczi Miklós,Serény György,2
Ferenczi Miklós,Sági Gábor,2
Fábián Csaba,0,168
Fábián Csaba,Szántai Tamás,6
Fülöp Otília,0,74
Fülöp Otília,Barabás Béla,10
Fülöp Otília,Molontay Roland,6
Fülöp Otília,Nagy Marcell,4
Fülöp Otília,Szűcs Zsolt,2
G. Horváth Ákos,0,246
G. Horváth Ákos,Lángi Zsolt,10
G. Horváth Ákos,Molnár Emil,2
G. Horváth Ákos,Prok István,4
G. Horváth Ákos,Szirmai Jenő,2
G. Horváth Ákosné,0,93
Gyenti Bálint,0,7
Gyenti Bálint,Molnár Lajos Gábor,2
Gyurkovics Éva,0,274
Gyurkovics Éva,Kiss Krisztina,7
Gyurkovics Éva,Moson Péter,2
Gyurkovics Éva,Nagy Ilona,3
Halmschlager Andrea,0,15
Halmschlager Andrea,Matolcsi Máté,2
Halmschlager Andrea,Tóth János,4
Hegedűs Pál,0,57
Horváth Erzsébet,0,145
Horváth Miklós Tibor,0,191
Horváth Miklós Tibor,Kiss Márton,10
Horváth Márton,0,24
Horváth Róbert,0,184
Horváth Róbert,Faragó István György,14
Horváth Róbert,Karátson János,11
Horváth Róbert,Mincsovics Miklós,3
Horváth Róbert,Svantnerné Sebestyén Gabriella,3
Hujter Mihály,0,279
Hujter Mihály,Hujter Mihály,25
Hujter Mihály,Lángi Zsolt,2
Hujter Mihály,Szántai Tamás,2
Héthelyi László,0,154
Héthelyi László,Horváth Erzsébet,32
Ivanics Péter,0,12
Ivanics Péter,Szabó Szilárd,6
Kalmár Boldizsár,0,36
Karátson János,0,314
Karátson János,Faragó István György,6
Karátson János,Lóczi Lajos,2
Keliger Dániel,0,7
Keliger Dániel,Takács Bálint Máté,2
Keszthelyi Gabriella,0,9
Kiss Krisztina,0,67
Kiss Krisztina,Gyurkovics Éva,2
Kiss Krisztina,Kovács Sándor,2
Kiss Krisztina,Nagy Ilona,3
Kiss Krisztina,Nágel Árpád,2
Kiss Krisztina,Tóth János,2
Kiss Márton,0,56
Kiss Sándor,0,111
Kiss Sándor,Molnár Zoltán Gábor,4
Kiss Sándor,Nagy Ilona,4
Kiss Sándor,Rónyai Lajos,6
Kiss Sándor,Sándor Csaba,30
Kolumbán József,0,30
Kornai András,0,469
Kovács Edith Alice,0,131
Kovács Edith Alice,Molontay Roland,4
Kovács Edith Alice,Szántai Tamás,16
Kovács Mihály,0,159
Kovács Sándor,0,104
Kovács Sándor,Kiss Krisztina,2
Koós Krisztiánné Szilágyi Brigitta,0,212
Koós Krisztiánné Szilágyi Brigitta,Lovas Attila,6
Koós Krisztiánné Szilágyi Brigitta,Sipos Bence,2
Kroó András,0,411
Kói Tamás,0,70
Kói Tamás,Csiszár Imre,3
Lality-Kovács Tünde,0,39
Lovas Attila,0,84
Lovas Attila,Andai Attila,16
Lovas Attila,Koós Krisztiánné Szilágyi Brigitta,6
Lukács Erzsébet,0,84
Lángi Zsolt,0,213
Lángné Lázi Márta,0,54
Lángné Lázi Márta,Kiss Sándor,4
Lángné Lázi Márta,Molnár Zoltán Gábor,4
Lángné Lázi Márta,Nagy Ilona,4
Lóczi Lajos,0,124
Mala József,0,40
Matolcsi Máté,0,184
Matolcsi Máté,Bodrogné Réffy Júlia Anna,2
Matolcsi Máté,Nagy Béla,2
Matolcsi Máté,Nagyné Szilvási Márta,6
Matolcsi Máté,Tasnádi Tamás Péter,2
Matolcsi Máté,Weiner Mihály,14
Milkovszki Tamás,0,12
