source,target,pubCount,qScore,qnScore,ifCount,ifScore,relifScore,ifNormScore,relifNormScore,citations,hIndex,firstPub,lastPub
10019825,10058012,1,0.9533,0.6243,1,1.43,0.9533,0.9365,0.6243,0,0,2022,2022
10019825,10051932,3,0.2467,0.2467,0,0,0,0,0,8,1,2016,2017
10019825,10019824,2,0.9293,0.9752,1,1.394,0.9293,1.463,0.9752,12,1,2012,2012
10058012,10004964,5,4.026,2.902,3,5.891,3.679,4.047,2.555,8,2,2016,2022
10058012,10000182,4,3.946,2.822,3,5.891,3.679,4.047,2.555,8,2,2016,2022
10051932,10031107,2,2.327,0.6911,1,4.654,2.327,1.382,0.6911,3,1,2019,2020
10051932,10022680,2,3.337,1.226,1,6.14,3.07,1.918,0.9591,8,1,2017,2019
10043154,10002205,4,0.5,0.5,0,0,0,0,0,7,2,2016,2019
10043154,10011896,1,0.2667,0.2667,0,0,0,0,0,0,0,2016,2016
10000486,10000476,6,3.317,3.237,2,3.526,2.351,3.406,2.271,19,1,1978,2010
10000486,10011720,5,5.669,5.451,3,6.044,5.103,5.735,4.885,61,3,2003,2007
10003438,10012192,1,0,0,0,0,0,0,0,0,0,1989,1989
10003438,10011665,1,0.6,1.237,1,0.23,0.6,0.4742,1.237,7,1,2006,2006
10001251,10031107,18,5.707,4.402,4,3.902,3.473,2.36,2.169,26,3,2008,2018
10001251,10003616,1,0,0,0,0,0,0,0,0,0,2004,2004
10003409,10000407,1,0.4273,0.5653,1,0.641,0.4273,0.8479,0.5653,25,1,2006,2006
10006497,10010572,1,0.3,0.3,0,0,0,0,0,8,1,1994,1994
10006497,10011896,1,0.6,0.982,1,0.358,0.6,0.5859,0.982,11,1,2011,2011
10006497,10011667,25,5.965,6.817,3,1.321,1.265,1.871,2.117,55,4,1988,2021
10006497,10011668,39,11.54,13.21,6,3.258,3.111,4.493,4.775,76,4,1995,2022
10042205,10019177,1,0,0,0,0,0,0,0,0,0,2020,2020
10042205,10052318,2,0,0,0,0,0,0,0,0,0,2017,2020
10042205,10045285,2,0,0,0,0,0,0,0,0,0,2017,2020
10041406,10003450,16,4.907,7.666,11,5.787,4.34,9.268,7.1,54,3,2004,2021
10000476,10011720,2,2.149,1.967,1,2.824,1.883,2.551,1.701,19,1,2006,2007
10000476,10042381,10,2.467,2.467,0,0,0,0,0,0,0,2008,2017
10009327,10041405,1,0.2,0.2,0,0,0,0,0,2,1,1991,1991
10009327,10002058,1,0.2,0.2,0,0,0,0,0,2,1,1991,1991
10041405,10002058,8,3.6,17.73,4,0.627,2.4,3.548,16.53,16,3,1991,2004
10041425,10011720,1,0.661,0.6506,1,0.661,0.661,0.6506,0.6506,15,1,2005,2005
10029438,10066279,2,1.514,1.587,2,1.502,1.514,1.573,1.587,2,1,2019,2021
10002058,10000407,1,0.4,0.4,0,0,0,0,0,2,1,2014,2014
10010572,10012191,4,2.609,3.338,4,2.848,2.609,3.603,3.338,15,2,2014,2022
10010572,10011667,2,0.8,0.8,0,0,0,0,0,2,1,2001,2018
10011720,10015273,7,4.891,4.299,6,5.813,4.625,4.895,4.033,63,2,2009,2021
10011720,10042206,1,0.7727,0.7704,1,1.159,0.7727,1.156,0.7704,15,1,2007,2007
10011720,10010951,1,0.97,0.3381,1,1.455,0.97,0.5071,0.3381,1,1,2007,2007
10004964,10000168,15,11.37,13.46,11,11.56,8.642,13.3,10.72,121,6,2001,2019
10004964,10060734,3,1.2,2.1,1,0.5,0.6,1.25,1.5,2,1,2000,2003
10004964,10000182,31,22.32,22.33,20,26.95,20.44,25.75,20.45,173,8,1999,2022
10004964,10028363,4,1.107,1.223,2,1.277,0.8933,1.462,1.01,2,1,2012,2022
10000168,10000182,3,2.415,2.121,3,4.382,2.415,3.974,2.121,0,0,2017,2019
10000168,10032461,1,0.6,0.9231,1,0.43,0.6,0.6615,0.9231,18,1,2005,2005
10000799,10028381,1,0.6487,0.792,1,0.973,0.6487,1.188,0.792,4,1,2016,2016
10000407,10019177,3,2.133,0.7775,1,4.758,1.903,1.369,0.5475,22,1,2015,2021
10012522,10046700,9,4.121,2.15,3,3.821,3.821,1.85,1.85,22,3,2015,2020
10000182,10028363,1,0.08,0.08,0,0,0,0,0,0,0,2018,2018
10042404,10015273,1,1.985,0.5712,1,2.978,1.985,0.8567,0.5712,3,1,2022,2022
10028223,10027379,1,1.941,1.241,1,1.941,1.941,1.241,1.241,8,1,2011,2011
10003616,10012191,1,0.787,1.228,1,0.787,0.787,1.228,1.228,3,1,2014,2014
10025398,10002331,4,9.812,5.437,4,13.58,9.812,7.337,5.437,62,3,2017,2020
10025398,10031961,2,2.548,2.439,2,3.342,2.548,3.159,2.439,32,2,2008,2009
10025398,10045285,1,1.788,0.7694,1,3.576,1.788,1.539,0.7694,30,1,2017,2017
10019177,10052318,1,0,0,0,0,0,0,0,0,0,2020,2020
10019177,10045285,1,0,0,0,0,0,0,0,0,0,2020,2020
10011896,10046700,6,2.038,0.7745,4,8.063,1.888,2.626,0.6245,8,1,2015,2021
10011667,10011668,19,6.429,7.582,4,3.218,3.162,4.07,4.315,41,3,1997,2021
10011668,10046850,9,4.653,4.692,4,2.955,3.353,2.915,3.392,36,4,2010,2019
10002331,10045285,1,1.788,0.7694,1,3.576,1.788,1.539,0.7694,30,1,2017,2017
10041238,10042217,12,9.071,4.767,4,8.471,7.537,3.474,3.234,11,2,2011,2021
10052318,10045285,3,0.2,0.2,0,0,0,0,0,0,0,2008,2020
